Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,71.000000,81.199997,71.000000,79.470001,49.235764,112568200
2015-08-01,80.000000,81.190002,61.419998,72.660004,45.333687,78206700
2015-09-01,71.230003,77.760002,68.650002,70.580002,44.035938,74943100
2015-10-01,71.269997,79.940002,69.370003,77.970001,48.646664,58053100
2015-11-01,78.430000,78.930000,70.250000,73.690002,45.976311,69191300
2015-12-01,74.230003,75.000000,69.389999,72.760002,45.760963,81390700
2016-01-01,71.379997,78.220001,68.180000,78.059998,49.497002,80775800
2016-02-01,77.370003,78.900002,70.010002,77.019997,48.837563,93718300
2016-03-01,77.660004,79.050003,75.550003,78.559998,49.814056,77769600
2016-04-01,78.529999,79.550003,76.640999,78.070000,49.872059,55299300
2016-05-01,78.070000,86.660004,78.000000,83.190002,53.142773,77885700
2016-06-01,83.089996,88.629997,82.500000,88.480003,56.910633,71540200
2016-07-01,88.580002,90.260002,85.199997,86.389999,55.566334,51883600
2016-08-01,86.300003,90.489998,84.250000,89.489998,57.560257,52562500
2016-09-01,89.570000,90.540001,85.349998,89.510002,57.961807,50505300
2016-10-01,89.250000,90.150002,86.500000,88.949997,57.599220,47821800
2016-11-01,89.000000,89.180000,79.919998,81.650002,52.872128,80046100
2016-12-01,81.510002,88.160004,79.690002,87.320000,56.950504,64481400
2017-01-01,87.849998,89.900002,85.410004,89.290001,58.235344,49506500
2017-02-01,88.889999,97.769997,86.349998,91.510002,59.683243,100847600
2017-03-01,91.769997,93.669998,90.440002,90.809998,59.226692,51366800
2017-04-01,90.800003,92.894997,89.830002,90.389999,59.341843,42776600
2017-05-01,90.650002,93.089996,87.139999,92.199997,60.530140,53362000
2017-06-01,92.349998,93.879997,85.449997,85.639999,56.604553,63203900
2017-07-01,85.959999,90.379997,82.199997,87.459999,57.807526,58129400
2017-08-01,87.379997,87.769997,80.290001,80.750000,53.372490,72590600
2017-09-01,80.750000,82.980003,77.400002,77.550003,51.629421,71009400
2017-10-01,77.550003,78.940002,75.209999,77.330002,51.482944,76765000
2017-11-01,77.709999,82.180000,75.510002,81.370003,54.172600,76815400
2017-12-01,80.949997,82.480003,77.070000,77.760002,52.183228,65811600
2018-01-01,78.220001,80.669998,76.599998,78.389999,52.605995,81426700
2018-02-01,78.120003,78.949997,67.029999,67.050003,44.995945,125645200
2018-03-01,67.139999,67.988998,59.950001,62.290001,41.801601,107585100
2018-04-01,61.939999,62.000000,56.110001,56.380001,38.189339,118256800
2018-05-01,56.320000,59.860001,54.110001,57.480000,38.934425,125418600
2018-06-01,57.639999,64.540001,57.009998,62.820000,43.004829,96729700
2018-07-01,62.500000,64.750000,58.939999,60.250000,41.245480,86945600
2018-08-01,60.000000,64.989998,57.630001,58.270000,39.890034,137580700
2018-09-01,58.450001,59.910000,54.320000,55.110001,38.130089,127200200
2018-10-01,55.490002,58.080002,53.029999,54.970001,38.033230,150233200
2018-11-01,55.130001,56.500000,50.410999,51.119999,35.369450,143400400
2018-12-01,51.400002,51.689999,41.599998,43.040001,30.136786,151107200
2019-01-01,42.750000,48.099998,42.285000,48.060001,33.651814,137561900
2019-02-01,48.139999,48.660000,31.820000,33.189999,23.239771,375185700
2019-03-01,33.410000,33.549999,31.530001,32.650002,22.861668,241950300
2019-04-01,32.799999,33.779999,32.020000,33.240002,23.561604,153245600
2019-05-01,33.200001,33.570000,26.959999,27.650000,19.599228,200756800
2019-06-01,27.680000,31.500000,27.670000,31.040001,22.313370,223225900
2019-07-01,31.260000,32.389999,30.230000,32.009998,23.010664,134449600
2019-08-01,32.099998,33.250000,24.860001,25.520000,18.345268,240703100
2019-09-01,25.420000,29.760000,25.219999,27.934999,20.398680,168947500
2019-10-01,27.930000,32.463001,25.969999,32.330002,23.607994,157031200
2019-11-01,32.119999,33.430000,30.160000,30.500000,22.271692,141479900
2019-12-01,30.500000,32.314999,30.330000,32.130001,23.747206,122053300
2020-01-01,32.290001,32.419998,29.035000,29.200001,21.581646,124873200
2020-02-01,29.200001,30.549999,24.010000,24.770000,18.307446,230006400
2020-03-01,24.750000,27.379999,19.990000,24.740000,18.285271,269491300
2020-04-01,24.020000,31.035000,23.360001,30.330000,22.802328,158549700
2020-05-01,29.990000,31.139999,28.120001,30.469999,22.907579,115313000
2020-06-01,30.500000,34.000000,30.320000,31.889999,24.288240,151523900
2020-07-01,31.930000,35.869999,31.160000,34.380001,26.184690,135221200
2020-08-01,34.473999,36.368999,34.250000,35.040001,26.687366,101549000
2020-09-01,34.750000,35.049999,28.562000,29.950001,23.072056,157907600
2020-10-01,30.000000,32.869999,29.209999,30.590000,23.565071,125795000
2020-11-01,31.040001,33.860001,29.535000,32.939999,25.375406,137611100
2020-12-01,32.970001,35.410000,32.750000,34.660000,27.019888,104333000
2021-01-01,34.590000,35.294998,31.600000,33.509998,26.123383,130070500
2021-02-01,33.459999,39.220001,32.730000,36.380001,28.360754,172728500
